2020-09-10 15:47:39.250 [] [] [localhost-startStop-1] WARN  c.y.i.licenseserver.utils.EnvUtils - Redis store type:[null] not found, use PBE instead.
2020-09-10 15:47:39.620 [] [] [localhost-startStop-1] INFO  c.y.i.l.u.WebServletContextListener - Redis storage type:PBE:PBE加解密
2020-09-10 15:47:40.373 [] [] [localhost-startStop-1] WARN  o.a.c.retry.ExponentialBackoffRetry - maxRetries too large (2147483647). Pinning to 29
2020-09-10 15:47:40.475 [] [] [localhost-startStop-1] INFO  o.a.c.f.imps.CuratorFrameworkImpl - Starting
2020-09-10 15:47:40.507 [] [] [localhost-startStop-1] INFO  c.y.i.l.service.NetworkCardService - regist network card info to zookeeper.
2020-09-10 15:47:40.541 [] [] [localhost-startStop-1-EventThread] INFO  o.a.c.f.state.ConnectionStateManager - State change: CONNECTED
2020-09-10 15:47:40.834 [] [] [localhost-startStop-1] INFO  c.y.i.licenseserver.utils.EnvUtils - Env NCHome:/LicenseServer/, NCHomePath:D:\LicenseServer
2020-09-10 15:47:40.859 [] [] [localhost-startStop-1] INFO  c.y.i.l.service.NetworkCardService - add networkcard eth0/SVN Adapter V1.0, virtual:false, loopback:false, up:true, pointToPoint:false, isNameVirtual:false
2020-09-10 15:47:40.983 [] [] [localhost-startStop-1] INFO  c.y.i.l.service.NetworkCardService - add networkcard wlan2/Intel(R) Wi-Fi 6 AX201 160MHz, virtual:false, loopback:false, up:true, pointToPoint:false, isNameVirtual:false
2020-09-10 15:47:41.547 [] [] [localhost-startStop-1] INFO  c.y.i.l.service.NetworkCardService - final regist networks:SVN Adapter V1.0!00-FF-1C-74-5D-B3,Intel(R) Wi-Fi 6 AX201 160MHz!E4-5E-37-39-D8-9D,
2020-09-10 15:47:41.953 [] [] [localhost-startStop-1] INFO  c.y.i.l.service.NetworkCardService - 创建网卡zk节点:/networkcard/00-FF-1C-74-5D-B3
2020-09-10 15:47:42.036 [] [] [localhost-startStop-1] INFO  c.y.i.l.service.ServerLicenseService - 监听/ServerLicense/ImportLicense节点
2020-09-10 15:47:42.037 [] [] [localhost-startStop-1] INFO  c.y.i.l.service.ServerLicenseService - 监听/ServerLicense/RemoveLicense节点
2020-09-10 15:47:42.303 [] [] [refreshLicenseToRedis] INFO  o.s.m.n.redis.pool.JedisPoolBuilder - Building JedisDirectPool, on redis server 127.0.0.1:6070
2020-09-10 15:47:42.599 [] [] [refreshLicenseToRedis] INFO  c.y.i.l.utils.PBEJedisImpl - host:127.0.0.1, port:6070, timeout:2000
2020-09-10 15:47:42.653 [] [] [refreshLicenseToRedis] INFO  c.y.i.l.service.ServerLicenseService - 删除本机因网卡增减在redis中的LicenseContainer遗留对象, 是否删除:1
2020-09-10 15:55:12.051 [] [] [localhost-startStop-1] WARN  c.y.i.licenseserver.utils.EnvUtils - Redis store type:[null] not found, use PBE instead.
2020-09-10 15:55:12.343 [] [] [localhost-startStop-1] INFO  c.y.i.l.u.WebServletContextListener - Redis storage type:PBE:PBE加解密
2020-09-10 15:55:12.960 [] [] [localhost-startStop-1] WARN  o.a.c.retry.ExponentialBackoffRetry - maxRetries too large (2147483647). Pinning to 29
2020-09-10 15:55:13.038 [] [] [localhost-startStop-1] INFO  o.a.c.f.imps.CuratorFrameworkImpl - Starting
